#SampleID	anonymized_name	collection_timestamp	commonloungetime_hr	description	floor	geo_loc_name	host_life_stage	host_subject_id	hoursoutside	lastshower_day	plants	roomateids	roomates	sample_type	samplenum	sex	sheetwashfreq_week	surface	surfaceaggregated	surfacegroup	timepoint	washlast_day	windowsopenhours	sheetwashfreq_binned	last_shower_binned	hoursoutside_binned
12470.1.Bed.Sheet.2	1	2016	0.17	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	1	9	0.54	0	NA	0	surface	209	male	4.5	Bed.Sheet	Bed Sheet	Hand	2	0	2			
12470.1.Bed.Sheet.3	1	2016	0.05	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	1	13	0.33	0	NA	0	surface	546	male	3	Bed.Sheet	Bed Sheet	Hand	3	21	15			
12470.1.Bed.Sheet.4	1	2016	0	sample of Bed Sheet	6	US:IL:Chicago	Not applicable	1	1.5	0.75	0	NA	0	surface	301	male	4	Bed.Sheet	Bed Sheet	Hand	4	7	10			
12470.1.Desk.2	1	2016	0.17	sample of Desk	6	US:IL:Chicago	Not applicable	1	9	0.54	0	NA	0	surface	205	male	4.5	Desk	Desk	Hand	2	0	2			
12470.1.Desk.3	1	2016	0.05	sample of Desk	6	US:IL:Chicago	Not applicable	1	13	0.33	0	NA	0	surface	542	male	3	Desk	Desk	Hand	3	21	15			
12470.1.Desk.4	1	2016	0	sample of Desk	6	US:IL:Chicago	Not applicable	1	1.5	0.75	0	NA	0	surface	305	male	4	Desk	Desk	Hand	4	7	10			
12470.1.Door.Handle.2	1	2016	0.17	sample of Door Handle	6	US:IL:Chicago	Not applicable	1	9	0.54	0	NA	0	surface	208	male	4.5	Door.Handle	Door Handle	Hand	2	0	2			
12470.1.Door.Handle.3	1	2016	0.05	sample of Door Handle	6	US:IL:Chicago	Not applicable	1	13	0.33	0	NA	0	surface	543	male	3	Door.Handle	Door Handle	Hand	3	21	15			
12470.1.Door.Handle.4	1	2016	0	sample of Door Handle	6	US:IL:Chicago	Not applicable	1	1.5	0.75	0	NA	0	surface	302	male	4	Door.Handle	Door Handle	Hand	4	7	10			
12470.1.Floor.2	1	2016	0.17	sample of Floor	6	US:IL:Chicago	Not applicable	1	9	0.54	0	NA	0	surface	210	male	4.5	Floor	Floor	Floor	2	0	2			
12470.1.Floor.3	1	2016	0.05	sample of Floor	6	US:IL:Chicago	Not applicable	1	13	0.33	0	NA	0	surface	544	male	3	Floor	Floor	Floor	3	21	15			
12470.1.Floor.4	1	2016	0	sample of Floor	6	US:IL:Chicago	Not applicable	1	1.5	0.75	0	NA	0	surface	300	male	4	Floor	Floor	Floor	4	7	10			
12470.1.Hand.1	1	2016	NA	sample of Hand	6	US:IL:Chicago	adult	1	NA	NA	NA	NA	0	skin	57	male	NA	Hand	Hand	Hand	1	NA	NA	NA	NA	NA
12470.1.Hand.2	1	2016	0.17	sample of Hand	6	US:IL:Chicago	adult	1	9	0.54	0	NA	0	skin	207	male	4.5	Hand	Hand	Hand	2	0	2	medium	recent	high
12470.1.Hand.3	1	2016	0.05	sample of Hand	6	US:IL:Chicago	adult	1	13	0.33	0	NA	0	skin	541	male	3	Hand	Hand	Hand	3	21	15	medium	recent	high
12470.1.Hand.4	1	2016	0	sample of Hand	6	US:IL:Chicago	adult	1	1.5	0.75	0	NA	0	skin	304	male	4	Hand	Hand	Hand	4	7	10	medium	recent	low
12470.1.Shoe.2	1	2016	0.17	sample of Shoe	6	US:IL:Chicago	Not applicable	1	9	0.54	0	NA	0	surface	206	male	4.5	Shoe	Shoe	Floor	2	0	2			
12470.1.Shoe.3	1	2016	0.05	sample of Shoe	6	US:IL:Chicago	Not applicable	1	13	0.33	0	NA	0	surface	545	male	3	Shoe	Shoe	Floor	3	21	15			
12470.1.Shoe.4	1	2016	0	sample of Shoe	6	US:IL:Chicago	Not applicable	1	1.5	0.75	0	NA	0	surface	303	male	4	Shoe	Shoe	Floor	4	7	10			
12470.10.Bed.Sheet.2	10	2016	0	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	10	1	0.25	0	NA	0	surface	107	male	2	Bed.Sheet	Bed Sheet	Hand	2	2	0			
12470.10.Bed.Sheet.3	10	2016	15	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	10	4	1	0	NA	0	surface	287	male	2	Bed.Sheet	Bed Sheet	Hand	3	7	0			
12470.10.Bed.Sheet.4	10	2016	10	sample of Bed Sheet	7	US:IL:Chicago	Not applicable	10	3	0.5	0	NA	0	surface	355	male	8	Bed.Sheet	Bed Sheet	Hand	4	14	5			
12470.10.Desk.2	10	2016	0	sample of Desk	7	US:IL:Chicago	Not applicable	10	1	0.25	0	NA	0	surface	115	male	2	Desk	Desk	Hand	2	2	0			
12470.10.Desk.3	10	2016	15	sample of Desk	7	US:IL:Chicago	Not applicable	10	4	1	0	NA	0	surface	288	male	2	Desk	Desk	Hand	3	7	0			
12470.10.Desk.4	10	2016	10	sample of Desk	7	US:IL:Chicago	Not applicable	10	3	0.5	0	NA	0	surface	359	male	8	Desk	Desk	Hand	4	14	5			
12470.10.Door.Handle.3	10	2016	15	sample of Door Handle	7	US:IL:Chicago	Not applicable	10	4	1	0	NA	0	surface	285	male	2	Door.Handle	Door Handle	Hand	3	7	0			
12470.10.Door.Handle.4	10	2016	10	sample of Door Handle	7	US:IL:Chicago	Not applicable	10	3	0.5	0	NA	0	surface	356	male	8	Door.Handle	Door Handle	Hand	4	14	5			
12470.10.Floor.2	10	2016	0	sample of Floor	7	US:IL:Chicago	Not applicable	10	1	0.25	0	NA	0	surface	131	male	2	Floor	Floor	Floor	2	2	0			
12470.10.Floor.3	10	2016	15	sample of Floor	7	US:IL:Chicago	Not applicable	10	4	1	0	NA	0	surface	286	male	2	Floor	Floor	Floor	3	7	0			
12470.10.Floor.4	10	2016	10	sample of Floor	7	US:IL:Chicago	Not applicable	10	3	0.5	0	NA	0	surface	354	male	8	Floor	Floor	Floor	4	14	5			
