"","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_nanceiensis",25.1785714285714,-5.1230813475821,1.02701210085062,-4.98833591477539,6.09016066674911e-07,9.93566211632497e-05
"2","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter_aphrophilus",24.6428571428571,-5.09169364734073,1.10624746586529,-4.60267146768836,4.17105910614555e-06,0.000595418687402277
"3","d__Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA,43.9642857142857,-4.39291114610444,1.04079585413685,-4.22072314051208,2.43519870836493e-05,0.0018539979499685
"4","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria",NA,15,-4.36456773384865,1.04152894799786,-4.19053905533658,2.78292505815796e-05,0.00198631276026024
"5","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA,37.8928571428571,-4.17409771549972,0.987513835851519,-4.22687517274172,2.36959032502933e-05,0.0018539979499685
"6","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA,2.28571428571429,2.45942999878596,0.647963880662307,3.79562823204294,0.000147270049165943,0.00672729584590026
"7","d__Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Catenibacterium",NA,2.57142857142857,2.70043786288549,0.669220243759125,4.03520050098405,5.45556898626288e-05,0.0031151298911561
"8","d__Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA,4.10714285714286,2.76004673542691,0.711668793162604,3.87827422242511,0.000105200096813272,0.00500577127336486
"9","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus",NA,2.67857142857143,2.78135760854069,0.691760064556516,4.02069698880897,5.80262036589087e-05,0.00315552021802256
"10","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter_agilis",2.71428571428571,2.80735271145663,0.718701874793537,3.90614357624029,9.37808029331825e-05,0.00465642073694324
"11","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,3.78571428571429,2.87081886740985,0.70915897839354,4.04820210259923,5.16125712237077e-05,0.00310218717565654
"12","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum",NA,4.96428571428571,2.8930824394703,0.671386692731403,4.30911495683712,1.6390915837254e-05,0.00173676698071375
"13","d__Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter",NA,6.78571428571429,2.96828811205186,0.727314029742882,4.08116438108749,4.48106481499553e-05,0.00284298667706939
"14","d__Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",NA,6.89285714285714,3.12447830942795,0.791600713321501,3.94703826922775,7.91239135912495e-05,0.00410725042369123
"15","d__Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus_equorum",3.32142857142857,3.18982169070628,0.752423676034463,4.23939569195611,2.24122302773981e-05,0.0018539979499685
"16","d__Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA,3.35714285714286,3.20945078735857,0.712370302423974,4.50531244275317,6.62753545788279e-06,0.00084096061032246
"17","d__Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured","uncultured_bacterium",3.39285714285714,3.22881580235101,0.755728871494687,4.27245262704471,1.93334635762131e-05,0.00183990128366962
